statements,topic
"The ReLU (Rectified Linear Unit) is an activation function that outputs the input directly if it is positive, and zero otherwise, effectively introducing non-linearity while allowing models to train faster by preventing the vanishing gradient problem.",activation
"The sigmoid function is a mathematical activation function that maps any real-valued input into a range between 0 and 1, typically used in neural networks to introduce non-linearity and represent probabilities.",activation
"The tanh (hyperbolic tangent) function is a non-linear activation function that maps input values to a range between -1 and 1, making it zero-centered and often helping neural networks converge faster than the standard sigmoid function.",activation
"The softmax function is an activation function typically used in the final layer of a neural network to transform a vector of raw numerical scores (logits) into a probability distribution, where each value ranges between 0 and 1 and the entire set sums to exactly 1.",activation
"Leaky ReLU is an activation function that allows a small, non-zero gradient when the input is negative—typically by multiplying the input by a small constant like 0.01—to prevent neurons from becoming permanently inactive during training.",activation
"The Exponential Linear Unit (ELU) is an activation function that speeds up deep learning by using a log-curve for negative values to push the mean activations closer to zero, while remaining identical to ReLU for positive inputs.",activation
"The Scaled Exponential Linear Unit (SELU) is an activation function defined as $f(x) = \lambda \text{selu}(x)$, which induces self-normalizing properties in deep neural networks by automatically shifting the mean and variance of neuron activations toward zero and one, respectively.",activation
"The Gaussian Error Linear Unit (GELU) is a high-performance activation function that weights an input by its probability under a Gaussian distribution, effectively dropping negative values more smoothly than a ReLU by incorporating stochasticity into the activation.",activation
"The Mish activation function is a smooth, non-monotonic function defined as $f(x) = x \cdot \tanh(\text{softplus}(x))$, designed to improve deep neural network performance by allowing a small amount of negative information to flow through while maintaining a smooth gradient landscape.",activation
"The Swish function is a smooth, non-monotonic activation function defined as $f(x) = x \cdot \text{sigmoid}(\beta x)$, which often outperforms ReLU by allowing small negative weights to propagate through the network.",activation
"The log-sigmoid function is the natural logarithm of the sigmoid activation function, primarily used in neural networks to transform output probabilities into a linear scale that improves numerical stability and prevents gradient vanishing during the calculation of binary cross-entropy loss.",activation
"The Softplus function is a smooth, continuous approximation of the ReLU activation function, defined by the formula $f(x) = \ln(1 + e^x)$, which maps input values to a strictly positive range $(0, \infty)$.",activation
"The softsign function is a nonlinear activation function that scales input values into a range between -1 and 1, providing a smoother, more gradual curve than the similar tanh function while being less prone to saturation at extreme values.",activation
"The HardShrink activation function sets input values to zero if they fall within a specified symmetric range $[-\lambda, \lambda]$, while leaving values outside that range unchanged.",activation
"The HardSigmoid function is a computationally efficient, piecewise linear approximation of the sigmoid function that caps values at 0 and 1 while maintaining a linear slope between a specified range (typically -2.5 to +2.5).",activation
"The HardTanh function is a linear approximation of the hyperbolic tangent (tanh) that clips input values into a fixed range—typically $[-1, 1]$—providing a computationally efficient alternative with non-zero gradients within its active interval.",activation
"The Hardswish function is a computationally efficient piece-wise linear approximation of the Swish activation function, designed to provide similar performance benefits in deep learning models while being easier to calculate on hardware with limited floating-point capabilities.",activation
"The Parametric Rectified Linear Unit (PReLU) is a type of activation function that extends ReLU by introducing a learnable parameter $\alpha$ for negative input values, allowing the network to automatically determine the optimal slope for negative signals instead of defaulting them to zero.",activation
